Link type,Source URL,Source HTTP status code,Target URL,Target HTTP status code,Anchor,Hreflang attribute,Target final redirect URL,Target final redirect HTTP status code
Sitemap URL,https://www.styly.fr/sitemap-fr.xml,200,https://www.styly.fr/blog/concevoir-mise-en-scene-interieure-ia-aws-styly,301,,,https://www.styly.fr/blog/concevoir-mise-en-scene-interieure-ia-aws-styly/,404
Hreflang,https://www.styly.fr/blog,301,https://www.styly.fr/blog,301,,x-default,https://www.styly.fr/blog/,404
Hreflang,https://www.styly.fr/blog/ia-design-accessible-espaces-inclusifs,301,https://www.styly.fr/en/blog/ai-accessible-design-inclusive-spaces,301,,x-default,https://www.styly.fr/en/blog/ai-accessible-design-inclusive-spaces/,404
Hreflang,https://www.styly.fr/blog/styly-viva-technology-avenir-design-ia,301,https://www.styly.fr/blog/styly-viva-technology-avenir-design-ia,301,,fr,https://www.styly.fr/blog/styly-viva-technology-avenir-design-ia/,404
Hreflang,https://www.styly.fr/blog/chatgpt-peut-il-concevoir-votre-maison-ia-design-interieur,301,https://www.styly.fr/blog/chatgpt-peut-il-concevoir-votre-maison-ia-design-interieur,301,,fr,https://www.styly.fr/blog/chatgpt-peut-il-concevoir-votre-maison-ia-design-interieur/,404
Hreflang,https://www.styly.fr/upload,301,https://www.styly.fr/upload,301,,fr,https://www.styly.fr/upload/,404
Hreflang,https://www.styly.fr/blog/ia-design-accessible-espaces-inclusifs,301,https://www.styly.fr/en/blog/ai-accessible-design-inclusive-spaces,301,,en,https://www.styly.fr/en/blog/ai-accessible-design-inclusive-spaces/,404
Redirect,https://www.styly.fr/blog/design-famille-moderne-ia-maisons-fonctionnelles,301,https://www.styly.fr/blog/design-famille-moderne-ia-maisons-fonctionnelles/,404,,,,
Hreflang,https://www.styly.fr/blog/assistant-ia-design-interieur-prompts-chatgpt,301,https://www.styly.fr/blog/assistant-ia-design-interieur-prompts-chatgpt,301,,fr,https://www.styly.fr/blog/assistant-ia-design-interieur-prompts-chatgpt/,404
Hreflang,https://www.styly.fr/blog/comment-ia-generative-revolutionne-design-interieur,301,https://www.styly.fr/en/blog/how-generative-ai-revolutionizing-interior-design,301,,x-default,https://www.styly.fr/en/blog/how-generative-ai-revolutionizing-interior-design/,404
Sitemap URL,https://www.styly.fr/sitemap-fr.xml,200,https://www.styly.fr/blog/tendances-design-interieur-2025,301,,,https://www.styly.fr/blog/tendances-design-interieur-2025/,404
Hreflang,https://www.styly.fr/blog/concevoir-mise-en-scene-interieure-ia-aws-styly,301,https://www.styly.fr/en/blog/designing-ai-interior-staging-aws-styly,301,,x-default,https://www.styly.fr/en/blog/designing-ai-interior-staging-aws-styly/,404
Redirect,https://www.styly.fr/privacy,301,https://www.styly.fr/privacy/,404,,,,
Redirect,https://www.styly.fr/en/blog/intersection-ai-virtual-reality-design,301,https://www.styly.fr/en/blog/intersection-ai-virtual-reality-design/,404,,,,
